Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
WTS-1 b,WTS-1,1,3.352057,1500.0,2346.01,1274.44
GJ 504 b,GJ 504,1,,510.0,17.5299,1271.3
HAT-P-44 c,HAT-P-44,2,872.2,,347.85,1271.3
HD 195019 b,HD 195019,1,18.20132,,37.6681,1264.9634
BD+63 1405 b,BD+63 1405,1,1198.48,,38.0473,1258.60049
HD 183263 b,HD 183263,2,626.51599,,54.1955,1255.4285
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,1,,,6440.0,1250.0
HD 76920 b,HD 76920,1,415.4,,184.031,1249.0719
KELT-21 b,KELT-21,1,3.6127647,2051.0,470.878,1242.7153
HIP 14810 b,HIP 14810,3,6.673892,,50.48,1239.537
42 Dra b,42 Dra,1,479.1,,90.6545,1233.13
HD 55696 b,HD 55696,1,1827.0,,77.9693,1230.0021
HD 24040 b,HD 24040,2,3668.0,,46.6224,1226.8238
HD 72659 b,HD 72659,1,3658.0,,51.8949,1223.6455
SWEEPS-4 b,SWEEPS-4,1,4.2,,,1207.7
HD 128311 c,HD 128311,2,921.538,,16.3292,1204.25787
OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,1,,55.0,3200.0,1200.0
MOA-bin-1L b,MOA-bin-1L,1,,,5100.0,1200.0
HD 92788 b,HD 92788,2,325.803,,34.6538,1195.0408
HD 35759 b,HD 35759,1,82.467,,71.2423,1195.0408
HD 95872 b,HD 95872,1,4375.0,,72.2195,1188.6842
KELT-6 c,KELT-6,2,1276.0,,240.726,1179.1493
MASCARA-1 b,MASCARA-1,1,2.14878,2570.0,182.273,1175.971
K2-33 b,K2-33,1,5.424865,,139.268,1175.971
WASP-173 A b,WASP-173 A,1,1.38665318,1880.0,232.98,1172.7927
HD 92788 c,HD 92788,2,11611.2975,,34.6538,1166.4361
HIP 56640 b,HIP 56640,1,2574.9,,122.324,1166.43025
HD 1605 c,HD 1605,2,2149.0,,88.8047,1150.5446
TOI-558 b,TOI-558,1,14.574071,1061.0,402.63,1147.36055
HD 86950 b,HD 86950,1,1270.0,,209.839,1144.188
HAT-P-69 b,HAT-P-69,1,4.7869491,1930.0,341.263,1137.8314
HD 183263 c,HD 183263,2,3070.0,,54.1955,1134.61
HD 143361 b,HD 143361,1,1039.15,,68.5146,1122.57556
HD 166724 b,HD 166724,1,5144.0,,45.1342,1121.89
HD 17156 b,HD 17156,1,21.21663,,78.0863,1115.5833
HD 108341 b,HD 108341,1,1129.0,,48.9102,1112.4
HD 213472 b,HD 213472,1,17000.0,,64.4527,1112.39942
CoRoT-18 b,CoRoT-18,1,1.9000693,1550.0,764.889,1102.82
CoRoT-2 b,CoRoT-2,1,1.7429935,,213.283,1102.82
OGLE-2015-BLG-0954L b,OGLE-2015-BLG-0954L,1,,,1200.0,1100.0
HD 204313 b,HD 204313,2,1920.09998,,47.7945,1099.6918
